disc_id,source,BX_max_step,BX_mean_step,BX_total_range,BY_max_step,BY_mean_step,BY_total_range,n_frames
disc202206290105,ground_truth,5.0,1.2363636363636363,22.0,5.0,1.4,11.0,56
disc202206290202,ground_truth,9.0,1.358974358974359,35.0,3.0,0.8717948717948718,8.0,40
disc202207010301,ground_truth,5.0,0.7692307692307693,22.0,4.0,0.8717948717948718,15.0,40
disc202207010302,ground_truth,3.0,0.6923076923076923,19.0,7.0,0.8205128205128205,20.0,40
disc202207010401,ground_truth,5.0,1.205128205128205,29.0,3.0,1.3076923076923077,8.0,40
disc202207050101,ground_truth,4.0,1.4102564102564104,24.0,5.0,0.8205128205128205,17.0,40
disc202207050101,prediction,7.193898020887261,0.758660351891913,10.379854293562893,7.245465812850767,0.5071098669438313,9.438051983790274,40
disc202207050102,ground_truth,2.0,0.38461538461538464,14.0,3.0,0.38461538461538464,12.0,40
disc202207050104,ground_truth,3.0,1.0,16.0,2.0,0.7948717948717948,15.0,40
disc202207110101,ground_truth,3.0,0.5641025641025641,22.0,4.0,0.6153846153846154,17.0,40
disc202207130101,ground_truth,8.0,1.0256410256410255,27.0,4.0,0.9743589743589743,9.0,40
disc202207130102,ground_truth,6.0,1.2564102564102564,17.0,3.0,0.7692307692307693,8.0,40
disc202207130103,ground_truth,4.0,1.3333333333333333,30.0,4.0,1.3846153846153846,6.0,40
disc202208110101,ground_truth,17.0,1.564102564102564,51.0,4.0,0.8461538461538461,22.0,40
disc202208230101,ground_truth,7.0,1.0,32.0,9.0,1.6923076923076923,11.0,40
disc202209080102,ground_truth,4.0,1.1025641025641026,33.0,3.0,0.8717948717948718,8.0,40
disc202209080104,ground_truth,3.0,1.0,21.0,4.0,1.3333333333333333,13.0,40
disc202209080105,ground_truth,3.0,1.0256410256410255,23.0,3.0,0.9230769230769231,15.0,40
disc202209080106,ground_truth,6.0,0.717948717948718,25.0,5.0,0.7692307692307693,14.0,40
disc202209080107,ground_truth,9.0,1.205128205128205,42.0,3.0,0.7435897435897436,5.0,40
disc202210060103,ground_truth,8.0,1.0769230769230769,40.0,2.0,0.7948717948717948,6.0,40
disc202210060201,ground_truth,11.0,1.5897435897435896,51.0,6.0,0.8205128205128205,14.0,40
disc202210060203,ground_truth,14.0,1.6666666666666667,61.0,2.0,0.5897435897435898,9.0,40
disc202210110103,ground_truth,7.0,1.0256410256410255,38.0,3.0,0.5384615384615384,13.0,40
disc202210110105,ground_truth,8.0,1.7179487179487178,49.0,5.0,1.1025641025641026,19.0,40
disc202210110202,ground_truth,5.0,1.6153846153846154,40.0,3.0,0.8717948717948718,20.0,40
disc202210110203,ground_truth,5.0,0.6153846153846154,20.0,3.0,1.1538461538461537,14.0,40
disc202210110204,ground_truth,10.0,1.2564102564102564,49.0,3.0,0.4358974358974359,15.0,40
disc202210110205,ground_truth,2.0,0.23076923076923078,5.0,2.0,0.1794871794871795,3.0,40
disc202210110206,ground_truth,6.0,1.1538461538461537,43.0,4.0,0.7948717948717948,8.0,40
disc202210120101,ground_truth,6.0,1.358974358974359,30.0,3.0,0.8974358974358975,11.0,40
disc202210120103,ground_truth,6.0,0.6923076923076923,27.0,2.0,0.46153846153846156,8.0,40
disc202210130101,ground_truth,8.0,0.8205128205128205,32.0,5.0,0.8717948717948718,34.0,40
disc202210200103,ground_truth,3.0,0.7692307692307693,18.0,6.0,1.5384615384615385,29.0,40
disc202210200104,ground_truth,5.0,1.0,21.0,2.0,0.717948717948718,4.0,40
