disc_id,source,param,max_step,mean_step,median_step,total_range,n_frames
disc202208110101,ground_truth,BX,17.0,1.564102564102564,0.0,51.0,40
disc202210060203,ground_truth,BX,14.0,1.6666666666666667,1.0,61.0,40
disc202212020203,ground_truth,BX,12.0,1.6153846153846154,1.0,61.0,40
disc202303140306,ground_truth,BX,12.0,1.3076923076923077,0.0,51.0,40
disc202210060201,ground_truth,BX,11.0,1.5897435897435896,1.0,51.0,40
disc202302230203,ground_truth,BX,11.0,1.4615384615384615,1.0,55.0,40
disc202210110204,ground_truth,BX,10.0,1.2564102564102564,0.0,49.0,40
disc202303140303,ground_truth,BX,10.0,0.9487179487179487,0.0,37.0,40
disc202206290202,ground_truth,BX,9.0,1.358974358974359,1.0,35.0,40
disc202208230101,ground_truth,BY,9.0,1.6923076923076923,1.0,11.0,40
disc202209080107,ground_truth,BX,9.0,1.205128205128205,1.0,42.0,40
disc202302140302,ground_truth,BX,9.0,1.0256410256410255,0.0,40.0,40
disc202302230206,ground_truth,BX,9.0,1.6666666666666667,1.0,65.0,40
disc202303140304,ground_truth,BX,9.0,1.641025641025641,1.0,64.0,40
disc202207130101,ground_truth,BX,8.0,1.0256410256410255,1.0,27.0,40
disc202210060103,ground_truth,BX,8.0,1.0769230769230769,0.0,40.0,40
disc202210110105,ground_truth,BX,8.0,1.7179487179487178,1.0,49.0,40
disc202210130101,ground_truth,BX,8.0,0.8205128205128205,0.0,32.0,40
disc202210200201,ground_truth,BY,8.0,1.8461538461538463,1.0,10.0,40
disc202212020102,ground_truth,BX,8.0,1.205128205128205,1.0,42.0,40
disc202302140302,ground_truth,BY,8.0,1.0512820512820513,1.0,34.0,40
disc202302230205,ground_truth,BX,8.0,1.3846153846153846,1.0,54.0,40
disc202303140202,ground_truth,BY,8.0,0.8974358974358975,0.0,35.0,40
disc202207010302,ground_truth,BY,7.0,0.8205128205128205,0.0,20.0,40
disc202208230101,ground_truth,BX,7.0,1.0,0.0,32.0,40
disc202210110103,ground_truth,BX,7.0,1.0256410256410255,0.0,38.0,40
disc202210200201,ground_truth,BX,7.0,1.2564102564102564,1.0,37.0,40
disc202302090401,ground_truth,BX,7.0,0.8205128205128205,0.0,32.0,40
disc202303020301,ground_truth,BX,7.0,1.3333333333333333,1.0,48.0,40
disc202207130102,ground_truth,BX,6.0,1.2564102564102564,1.0,17.0,40
disc202209080106,ground_truth,BX,6.0,0.717948717948718,0.0,25.0,40
disc202210060201,ground_truth,BY,6.0,0.8205128205128205,1.0,14.0,40
disc202210110206,ground_truth,BX,6.0,1.1538461538461537,0.0,43.0,40
disc202210120101,ground_truth,BX,6.0,1.358974358974359,1.0,30.0,40
